open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore,fg_index
2024-05-01 00:00:00,60672.01,60841.63,60078.52,60240.57,1687.69405,1714525199999,102001827.6852748,63890,690.17398,41698382.3962329,0,0.54
2024-05-01 01:00:00,60240.58,60408.29,59850.06,60133.78,1900.93637,1714528799999,114328448.6722557,69968,889.4156,53488477.8197661,0,0.54
2024-05-01 02:00:00,60133.79,60177.68,59590.0,59927.99,2096.94562,1714532399999,125372126.2282262,66988,819.31413,48993400.9136932,0,0.54
2024-05-01 03:00:00,59927.99,60317.88,59903.17,60246.03,844.90119,1714535999999,50793223.0681256,34304,420.49007,25275553.6075911,0,0.54
2024-05-01 04:00:00,60246.02,60361.09,60190.0,60283.99,837.69201,1714539599999,50493469.6828969,30990,399.32328,24070982.6224105,0,0.54
2024-05-01 05:00:00,60283.99,60334.76,59931.59,60050.0,891.00474,1714543199999,53553314.384298,41351,369.54213,22209851.0923878,0,0.54
2024-05-01 06:00:00,60049.99,60113.24,59500.55,59529.94,1347.11313,1714546799999,80530188.5513444,56146,592.90934,35442090.8691343,0,0.54
2024-05-01 07:00:00,59529.94,59569.23,57100.0,57499.99,12661.81057,1714550399999,735132790.486053,340174,5410.12641,313890278.5825063,0,0.54
2024-05-01 08:00:00,57500.0,57596.63,56552.82,57169.69,10517.34359,1714553999999,600027620.5176138,228592,5061.43091,288827149.2239482,0,0.54
2024-05-01 09:00:00,57169.7,57653.34,57042.0,57115.61,3511.69138,1714557599999,201286360.2848167,99651,1745.99067,100084808.8467569,0,0.54
2024-05-01 10:00:00,57115.61,57770.0,56888.0,57768.68,2656.85211,1714561199999,152255180.9841504,90354,1434.32798,82226380.0431673,0,0.54
2024-05-01 11:00:00,57768.68,57909.0,57455.58,57898.47,1920.67432,1714564799999,110782680.8335144,71863,964.45649,55649805.825954,0,0.54
2024-05-01 12:00:00,57898.46,58275.87,57729.89,57969.98,3130.89661,1714568399999,181794661.4358536,91053,1527.25458,88692282.905126,0,0.54
2024-05-01 13:00:00,57969.99,57999.06,57223.29,57301.29,2703.0265,1714571999999,155611390.2689774,95287,1264.59189,72796800.5359975,0,0.54
2024-05-01 14:00:00,57301.29,57586.2,57101.1,57482.0,2591.82856,1714575599999,148677594.4072833,90581,1385.08781,79459409.7370905,0,0.54
2024-05-01 15:00:00,57482.01,57511.1,56674.51,56886.0,3260.99612,1714579199999,185879357.5719728,98457,1474.87932,84082180.9102051,0,0.54
2024-05-01 16:00:00,56886.0,57456.92,56750.1,57043.99,2281.24833,1714582799999,130229552.5303398,75999,1282.44234,73204445.088741,0,0.54
